Age;Primary streaming service;Hours per day;While working;Fav genre;BPM;Frequency [Classical];Frequency [Pop];Anxiety;Depression
18;Spotify;3;Yes;Latin;156;Rarely;Very frequently;3;0
63;Pandora;3;Yes;Rock;119;Sometimes;Sometimes;7;2
18;Spotify;4;No;Video game music;132;Never;Rarely;7;7
61;YouTube Music;3;Yes;Jazz;84;Sometimes;Sometimes;9;7
18;Spotify;4;Yes;R&B;107;Never;Sometimes;7;2
18;Spotify;5;Yes;Jazz;86;Rarely;Very frequently;8;8
18;YouTube Music;3;Yes;Video game music;66;Sometimes;Rarely;4;8
21;Spotify;1;Yes;K pop;95;Never;Sometimes;5;3
19;Spotify;6;Yes;Rock;94;Never;Never;2;0
18;I do not use a streaming service.;1;Yes;R&B;155;Rarely;Sometimes;2;2
19;YouTube Music;8;Yes;EDM;125;Rarely;Rarely;1;0
19;Spotify;2;Yes;Country;88;Never;Rarely;2;1
18;Spotify;4;Yes;Jazz;148;Very frequently;Sometimes;6;4
16;Spotify;8;Yes;Hip hop;103;Never;Never;8;8
16;Spotify;12;Yes;Hip hop;120;Rarely;Sometimes;5;7
17;Spotify;24;Yes;Rap;99;Rarely;Rarely;7;5
15;Spotify;3;No;Hip hop;120;Never;Rarely;7;3
15;Apple Music;8;Yes;Hip hop;120;Rarely;Very frequently;6;9
17;Spotify;4;Yes;Rap;125;Never;Sometimes;10;10
19;I do not use a streaming service.;5;Yes;R&B;118;Rarely;Rarely;6;7
18;Spotify;2;Yes;Pop;79;Rarely;Very frequently;3;3
16;Other streaming service;3;Yes;Rock;84;Rarely;Never;10;6
18;Spotify;2;No;Pop;169;Sometimes;Very frequently;7;4
14;Spotify;12;Yes;Rock;136;Sometimes;Very frequently;8;6
18;YouTube Music;6;Yes;Pop;101;Sometimes;Very frequently;3;2
17;Spotify;2;Yes;Pop;126;Never;Very frequently;6;6
17;Apple Music;1;Yes;Pop;183;Rarely;Sometimes;8;2
19;Spotify;2;Yes;Classical;120;Very frequently;Very frequently;4;4
17;Spotify;4;No;Rock;142;Rarely;Very frequently;5;6
16;Spotify;1;Yes;Classical;75;Very frequently;Never;0;0
18;Spotify;5;Yes;Pop;120;Sometimes;Very frequently;3;2
21;Spotify;4;Yes;Pop;89;Never;Very frequently;6;8
26;Other streaming service;0.5;No;Rock;140;Rarely;Rarely;9;8
20;Spotify;4;Yes;EDM;161;Rarely;Very frequently;7;2
23;YouTube Music;2;Yes;Video game music;80;Sometimes;Sometimes;4;2
18;Spotify;5;Yes;Rock;130;Very frequently;Sometimes;7;6
37;YouTube Music;0.25;No;Video game music;147;Very frequently;Very frequently;3;2
17;Spotify;3;Yes;Classical;120;Very frequently;Sometimes;6;6
18;Spotify;4;Yes;Metal;77;Rarely;Sometimes;1;0
17;I do not use a streaming service.;1;Yes;Folk;118;Never;Rarely;7;3
36;Spotify;1;No;Classical;132;Very frequently;Rarely;8;9
24;Spotify;3;Yes;Rock;115;Rarely;Sometimes;9;6
18;Spotify;5;Yes;Metal;157;Never;Sometimes;7;9
19;Spotify;3;Yes;Pop;90;Sometimes;Very frequently;7;4
17;Apple Music;2;Yes;EDM;128;Never;Sometimes;0;0
16;Spotify;6;Yes;K pop;169;Rarely;Sometimes;7;8
23;Apple Music;1;No;Rap;140;Sometimes;Rarely;10;6
23;Spotify;12;Yes;Pop;96;Very frequently;Very frequently;3;7
22;Spotify;4;Yes;Rock;126;Rarely;Very frequently;8;7
18;Spotify;6;Yes;Rock;91;Rarely;Rarely;8;6
23;Spotify;7;Yes;Folk;55;Rarely;Sometimes;6;4
23;I do not use a streaming service.;1;Yes;Video game music;85;Sometimes;Sometimes;7;0
19;YouTube Music;1;No;K pop;160;Never;Never;10;1
22;Pandora;1;No;Rock;108;Rarely;Sometimes;8;7
15;Other streaming service;2;Yes;Rock;156;Never;Sometimes;3;2
25;Spotify;2;No;Metal;170;Rarely;Sometimes;5;5
32;Spotify;5;Yes;Rock;91;Sometimes;Very frequently;10;10
36;Spotify;6;Yes;Metal;174;Very frequently;Rarely;5;4
24;Spotify;3;No;Rock;130;Sometimes;Very frequently;0;0
29;Spotify;4;No;Hip hop;140;Rarely;Sometimes;8;8
41;Apple Music;3;Yes;Metal;130;Sometimes;Sometimes;10;7
36;I do not use a streaming service.;2;Yes;Rock;127;Sometimes;Sometimes;7;3
19;YouTube Music;3;Yes;Rock;160;Rarely;Sometimes;8;7
26;Spotify;2;Yes;Hip hop;165;Rarely;Sometimes;6;3
22;Apple Music;0.5;No;Hip hop;113;Sometimes;Sometimes;7;7
16;Spotify;5;Yes;Jazz;167;Sometimes;Very frequently;7;7
17;Spotify;5;Yes;Metal;95;Never;Rarely;4;1
19;Spotify;10;Yes;R&B;110;Never;Rarely;7;2
18;YouTube Music;2;No;EDM;150;Sometimes;Very frequently;9;0
18;YouTube Music;4;Yes;Hip hop;93;Never;Very frequently;2;7
19;Spotify;5;No;Rock;90;Rarely;Rarely;10;8
19;Spotify;3;Yes;Jazz;118;Rarely;Sometimes;3;0
22;Spotify;2;Yes;K pop;126;Never;Sometimes;7;8
16;Spotify;3;Yes;Rock;103;Rarely;Very frequently;2;1
19;Spotify;3;Yes;R&B;77;Rarely;Very frequently;5;4
37;Spotify;1;Yes;Rock;115;Rarely;Sometimes;9;10
14;Spotify;7;Yes;Jazz;110;Rarely;Sometimes;2;0
26;Spotify;1;No;R&B;113;Rarely;Very frequently;3;2
32;Spotify;3;Yes;Hip hop;157;Never;Sometimes;2;0
30;Spotify;5;Yes;Metal;160;Sometimes;Sometimes;7;6
43;I do not use a streaming service.;6;Yes;Video game music;109;Sometimes;Sometimes;5;4
24;Spotify;4;Yes;Classical;175;Very frequently;Very frequently;4;6
36;YouTube Music;1;Yes;Rock;110;Sometimes;Sometimes;6;2
19;YouTube Music;4;Yes;Video game music;162;Rarely;Sometimes;8;2
22;Spotify;10;Yes;Metal;189;Rarely;Rarely;9;6
20;Spotify;3;No;EDM;121;Rarely;Sometimes;0;3
31;Spotify;2;No;Rock;200;Rarely;Sometimes;8;9
19;Spotify;4;Yes;Metal;105;Sometimes;Sometimes;4;1
15;Spotify;8;Yes;Rock;193;Never;Rarely;8;7
18;Spotify;2;No;Metal;149;Never;Sometimes;3;4
25;I do not use a streaming service.;0.5;No;Classical;140;Very frequently;Rarely;1;1
17;Apple Music;5;Yes;Metal;134;Never;Sometimes;10;8
28;YouTube Music;1;No;Rock;120;Rarely;Rarely;6;6
20;Spotify;3;Yes;Rock;170;Never;Sometimes;6;7
21;YouTube Music;2;Yes;Metal;107;Sometimes;Rarely;8;4
41;Spotify;3;Yes;Pop;113;Sometimes;Very frequently;9;7
20;Spotify;2;Yes;Pop;126;Never;Very frequently;7;4
34;Other streaming service;4;Yes;Metal;161;Rarely;Rarely;6;7
23;Spotify;2;Yes;Metal;100;Rarely;Rarely;6;3
16;Spotify;3;No;Pop;140;Rarely;Very frequently;7;5
19;YouTube Music;4;Yes;Pop;156;Rarely;Very frequently;7;10
22;Spotify;2;Yes;Rock;98;Sometimes;Very frequently;8;6
19;Spotify;8;Yes;K pop;100;Very frequently;Very frequently;4;3
23;Spotify;4;Yes;Hip hop;78;Rarely;Very frequently;7;6
23;Spotify;2;No;Metal;117;Never;Never;7;3
22;Spotify;1;No;EDM;128;Never;Very frequently;2;7
17;Spotify;3;Yes;Rock;130;Rarely;Very frequently;7;8
28;Spotify;0.5;No;Folk;130;Rarely;Sometimes;4;7
19;Apple Music;3;Yes;Rock;126;Never;Rarely;5;2
17;Spotify;2;Yes;Hip hop;122;Rarely;Rarely;10;7
21;YouTube Music;1;No;Rock;179;Never;Rarely;6;5
29;Other streaming service;5;Yes;Jazz;200;Rarely;Never;7;2
22;Spotify;10;No;EDM;128;Sometimes;Never;4;7
18;Spotify;4;Yes;Pop;130;Sometimes;Very frequently;4;5
13;Spotify;2;Yes;Rock;120;Rarely;Very frequently;7;10
24;Spotify;1;No;Metal;86;Sometimes;Sometimes;6;4
35;Spotify;6;Yes;Rock;166;Sometimes;Sometimes;4;1
29;YouTube Music;1;Yes;Video game music;110;Sometimes;Sometimes;6;6
28;Spotify;6;Yes;Rock;144;Sometimes;Sometimes;10;8
32;Spotify;7;Yes;Pop;120;Sometimes;Very frequently;10;8
32;Other streaming service;1;No;EDM;120;Rarely;Sometimes;3;6
21;Spotify;3;Yes;Rock;160;Never;Rarely;8;9
18;Spotify;2;Yes;Video game music;101;Never;Rarely;8;3
19;Spotify;3;Yes;Classical;122;Very frequently;Very frequently;3;3
25;Spotify;3;Yes;Pop;61;Sometimes;Very frequently;6;5
17;Spotify;4;Yes;Lofi;79;Very frequently;Very frequently;3;8
16;Spotify;2;Yes;Rap;126;Very frequently;Very frequently;1;8
27;Spotify;10;Yes;Metal;185;Sometimes;Very frequently;5;6
53;Spotify;7;Yes;Pop;92;Very frequently;Very frequently;0;0
25;Spotify;1;Yes;EDM;107;Never;Never;0;8
34;Spotify;2;No;Metal;120;Never;Rarely;3;7
22;Other streaming service;6;Yes;Jazz;140;Sometimes;Very frequently;8;8
17;Spotify;2;Yes;Jazz;94;Sometimes;Very frequently;5;2
26;Spotify;3;Yes;Folk;160;Rarely;Sometimes;8;8
19;Spotify;8;Yes;EDM;174;Never;Sometimes;6;8
21;Spotify;3;Yes;Pop;136;Rarely;Very frequently;6;8
32;Spotify;3;Yes;Rock;144;Rarely;Sometimes;6;6
21;I do not use a streaming service.;3;Yes;Rock;77;Never;Rarely;9;10
25;Spotify;2;No;Pop;120;Rarely;Very frequently;7;7
28;I do not use a streaming service.;4;Yes;Rock;194;Rarely;Sometimes;6;8
41;YouTube Music;4;Yes;Pop;60;Rarely;Very frequently;7;2
18;Spotify;1;Yes;Metal;190;Rarely;Rarely;6;9
22;Spotify;2;No;R&B;87;Sometimes;Sometimes;1;1
18;Other streaming service;2;Yes;K pop;122;Rarely;Very frequently;0;2
49;Other streaming service;1;Yes;EDM;156;Sometimes;Sometimes;8;8
21;Spotify;3;Yes;Metal;150;Sometimes;Very frequently;3;3
27;Spotify;10;Yes;Metal;194;Never;Very frequently;8;8
19;Spotify;1;No;Metal;160;Never;Sometimes;6;4
27;Spotify;3;Yes;Metal;171;Sometimes;Never;1;0
27;Spotify;3;Yes;Rock;95;Never;Sometimes;5;5
19;Spotify;3;Yes;K pop;114;Sometimes;Sometimes;8;9
42;YouTube Music;3;Yes;Rock;148;Sometimes;Rarely;8;8
60;Pandora;2;Yes;Gospel;119;Rarely;Sometimes;3;0
19;YouTube Music;5;Yes;Metal;136;Sometimes;Never;0;5
20;Apple Music;2;Yes;Pop;141;Rarely;Very frequently;6;3
28;Spotify;2;No;Metal;146;Rarely;Rarely;1;7
18;Spotify;2;Yes;R&B;164;Sometimes;Very frequently;5;6
21;Spotify;5;Yes;Folk;128;Sometimes;Very frequently;9;4
21;I do not use a streaming service.;2;Yes;Rock;101;Rarely;Very frequently;8;8
18;Spotify;2;Yes;K pop;98;Very frequently;Sometimes;7;2
16;Apple Music;2;No;Pop;145;Never;Very frequently;10;3.May
19;Spotify;1;Yes;Pop;94;Rarely;Very frequently;7;5
31;Spotify;4;Yes;Classical;103;Very frequently;Rarely;6;8
16;Spotify;2;Yes;Rock;112;Rarely;Sometimes;7;4
17;Spotify;2;Yes;R&B;118;Rarely;Sometimes;6;1
20;Apple Music;4;Yes;R&B;113;Sometimes;Sometimes;9;10
30;Spotify;1;No;Rock;162;Sometimes;Sometimes;8;5
19;Spotify;5;Yes;Rock;111;Sometimes;Sometimes;9;9
33;Spotify;7;Yes;Rock;134;Rarely;Very frequently;9;3
28;YouTube Music;2;Yes;Rock;172;Never;Sometimes;10;8
25;Spotify;3;Yes;Rock;180;Rarely;Sometimes;9;6
22;YouTube Music;2;Yes;Pop;120;Rarely;Very frequently;7;7
19;Spotify;3;Yes;Rock;76;Sometimes;Rarely;9;10
44;Other streaming service;3;Yes;Folk;130;Rarely;Rarely;9;9
26;Spotify;5;Yes;Metal;109;Sometimes;Sometimes;10;9
23;I do not use a streaming service.;6;Yes;Classical;96;Very frequently;Rarely;6;5
17;Spotify;2;No;R&B;148;Sometimes;Sometimes;8;6
30;Spotify;1;No;Rock;129;Rarely;Very frequently;4;2
35;Spotify;1;Yes;Pop;81;Sometimes;Very frequently;2;1
20;Spotify;3;No;Rock;136;Never;Very frequently;10;10
18;Spotify;3;Yes;Rap;155;Rarely;Very frequently;8;9
19;Spotify;6;Yes;Rock;52;Never;Very frequently;4;2
37;Spotify;4;Yes;Rock;97;Rarely;Sometimes;9;2
31;Spotify;2;Yes;Metal;92;Sometimes;Sometimes;8;6
29;Spotify;2;Yes;Folk;100;Never;Rarely;6;5
20;Spotify;3;Yes;Rock;120;Sometimes;Very frequently;8;5
36;I do not use a streaming service.;8;Yes;Video game music;143;Sometimes;Rarely;7;6
18;Spotify;3;Yes;Rock;118;Sometimes;Sometimes;10;2
18;Spotify;2;Yes;K pop;130;Rarely;Sometimes;6;0
25;Spotify;7;Yes;Pop;120;Never;Very frequently;2;0
31;YouTube Music;9;Yes;Pop;158;Rarely;Very frequently;9;0
17;Spotify;2;Yes;Pop;160;Rarely;Very frequently;5;4
30;Other streaming service;1;No;Country;119;Never;Very frequently;8;10
40;Apple Music;2;Yes;Metal;120;Sometimes;Rarely;3;6
64;I do not use a streaming service.;4;Yes;Rock;200;Sometimes;Sometimes;4;4
14;Spotify;2;Yes;Rock;136;Rarely;Very frequently;7;5
26;YouTube Music;6;Yes;Rock;104;Sometimes;Sometimes;3;2
35;Spotify;4;Yes;Country;90;Rarely;Sometimes;9;9
33;Other streaming service;1;No;Rock;120;Never;Sometimes;3;10
